Data,Produto,Categoria,Quantidade Vendida,Preço Unitário,Total de Vendas,Loja,ID
1/9/2024,Notebook A,Computadores,-2,3000,186000,Loja 1,1
11/1/2024,Tablet A,Celular,-2,1100,61600,Loja 1,2
9/3/2024,Tablet B,Celular,1,1000,47000,Loja 1,3
10/18/2024,Notebook B,Computadores,1,2500,160000,Loja 1,4
5/12/2024,Smartfone B,Celular,1,2000,194000,Loja 1,5
12/30/2024,Tablet B,Celular,1,1000,72000,Loja 1,6
10/17/2024,Tablet B,Celular,1,1000,38000,Loja 1,7
7/12/2024,Smartfone B,Celular,1,2000,82000,Loja 1,8
6/2/2024,Notebook B,Computadores,1,2500,190000,Loja 1,9
6/26/2024,Smartfone B,Celular,1,2000,130000,Loja 1,10
1/19/2024,Tablet A,Celular,1,1100,103400,Loja 1,11
4/11/2024,Smartfone B,Celular,1,2000,6000,Loja 1,12
10/2/2024,Smartfone B,Celular,1,2000,108000,Loja 1,13
4/5/2024,Tablet B,Celular,1,1000,17000,Loja 1,14
5/1/2024,Tablet B,Celular,1,1000,16000,Loja 1,15
10/31/2024,Smartfone B,Celular,1,2000,74000,Loja 1,16
3/4/2024,Tablet A,Celular,1,1100,81400,Loja 1,17
9/3/2024,Smartfone B,Celular,1,2000,132000,Loja 1,18
5/4/2024,Tablet A,Celular,1,1100,13200,Loja 1,19
8/25/2024,Tablet B,Celular,1,1000,67000,Loja 1,20
12/27/2024,Tablet A,Celular,1,1100,14300,Loja 1,21
11/26/2024,Tablet B,Celular,1,1000,65000,Loja 1,22
8/1/2024,Tablet B,Celular,1,1000,43000,Loja 1,23
2/9/2024,Tablet B,Celular,1,1000,42000,Loja 1,24
11/20/2024,Tablet B,Celular,1,1000,55000,Loja 1,25
3/18/2024,Smartfone B,Celular,1,2000,64000,Loja 1,26
5/17/2024,Tablet B,Celular,1,1000,93000,Loja 1,27
3/16/2024,Smartfone A,Celular,1,2200,55000,Loja 1,28
4/23/2024,Notebook B,Computadores,2,2500,30000,Loja 1,29
9/13/2024,Tablet A,Celular,2,1100,88000,Loja 1,30
8/7/2024,Smartfone B,Celular,2,2000,196000,Loja 1,31
7/22/2024,Smartfone B,Celular,2,2000,80000,Loja 1,32
11/24/2024,Tablet B,Celular,2,1000,59000,Loja 1,33
11/4/2024,Tablet C,Celular,2,800,54400,Loja 1,34
4/1/2024,Tablet B,Celular,2,1000,68000,Loja 1,35
12/9/2024,Tablet A,Celular,2,1100,104500,Loja 1,36
7/31/2024,Notebook B,Computadores,2,2500,177500,Loja 1,37
3/27/2024,Tablet A,Celular,2,1100,2200,Loja 1,38
9/25/2024,Tablet A,Celular,2,1100,31900,Loja 1,39
